"url","final_url","title","status_code","content_type","fetched_at","text_length","text_sha256"
"https://www.kraken.com/features/trading-api","https://www.kraken.com/features/trading-api","Kraken API | REST, WebSocket and FIX APIs","200","text/html; charset=utf-8","7/16/2026 3:31:36 PM","7276","1893d2c02aeb565f3beea812579cca1afe83fa15b0fabb5759e9c840d9c253a2"
"https://www.kraken.com/gb/features/24-7-support","https://www.kraken.com/gb/features/24-7-support","24/7 Global Customer Support | Kraken","200","text/html; charset=utf-8","7/9/2026 4:13:54 PM","2654","b238922e9f002c309604608d1724ba3b899bce90ece148394f2086d92c753c0a"
"https://www.kraken.com/gb/xstocks","https://www.kraken.com/gb/xstocks","Tokenized Stocks and ETFs on Kraken","200","text/html; charset=utf-8","7/9/2026 4:14:08 PM","9043","e366215b87bc8b5304d233c1012338d7c3aabbfff6c4fe4a57d438d83fcbd223"
"https://www.kraken.com/institutions/custody","https://www.kraken.com/institutions/custody","Kraken Custody | Qualified custodian for crypto & digital assets","200","text/html; charset=utf-8","7/16/2026 3:31:38 PM","13926","f7e1286540c03a29f87b77c77b1e5e7f2a6e3c2148fd466bb28287302e6acf42"
"https://www.kraken.com/institutions/custody/supported-assets","https://www.kraken.com/institutions/custody/supported-assets","Kraken Custody | Supported Assets","200","text/html; charset=utf-8","7/16/2026 3:31:43 PM","6100","ff0026114cade1e8b835de622591d7a003086cbc0420c90fc736bee3ab1d01d4"
"https://www.kraken.com/kraken-app","https://www.kraken.com/kraken-app","The Kraken App | Smart crypto investing made easy","200","text/html; charset=utf-8","8/11/2026 11:17:08 PM","24097","6a3d61ee3b65b4d153bed71ffbe64918b1759ad763e4a9649cea51ba4e5565e6"
"https://www.kraken.com/learn","https://www.kraken.com/learn","Learn Crypto: Guides, Articles & Videos | Kraken","200","text/html; charset=utf-8","8/11/2026 11:16:54 PM","3741","251a50dfc13e0814e718df2495818f207845a9e12f4356b31b71080501a3e920"
"https://www.kraken.com/legal","https://www.kraken.com/legal","Terms of Service","200","text/html; charset=utf-8","8/11/2026 11:16:55 PM","1094","c70833d0ab4fd54a62a11239097105148ad2f81d01d19795248bb8a6243caa6d"
"https://www.kraken.com/legal/disclosures","https://www.kraken.com/legal/disclosures","Disclosures","200","text/html; charset=utf-8","8/11/2026 11:16:55 PM","69802","b42c55e61d4df341079e5b87ab8ace69607932b2838f61aac2f4d78dbfb5ecd2"
"https://www.kraken.com/legal/uk/disclaimer","https://www.kraken.com/legal/uk/disclaimer","UK Risk Disclaimer","200","text/html; charset=utf-8","8/11/2026 11:16:56 PM","2405","e5d703717b87d511be8ce05dcf03894c4ccfd98aa76b84e43041339c7a497e06"
"https://www.kraken.com/pro/flexline","https://www.kraken.com/pro/flexline","Kraken Flexline | Borrow against crypto without selling","200","text/html; charset=utf-8","8/11/2026 11:16:57 PM","3332","504ad59f7ad2ccb3bb74b6e258fd453b1660fd364be4111ba1de70a7a2078d73"
"https://www.kraken.com/pro/stocks","https://www.kraken.com/pro/stocks","Stocks and ETFs on Kraken Pro","200","text/html; charset=utf-8","8/11/2026 11:16:57 PM","6789","d17983b233d2a0839c5b43d540b897cbb1a13cc34a48149f6c6108ae8b7d24fa"
"https://www.kraken.com/pro/xstocks","https://www.kraken.com/pro/xstocks","xStocks | Tokenized Stocks and ETFs on Kraken Pro","200","text/html; charset=utf-8","8/11/2026 11:16:58 PM","8914","48013ba8bb8c157f0f5f13eb2cb40a349ef01ffd672be706ef8041153141356a"
"https://www.kraken.com/prop","https://www.kraken.com/prop","Crypto Prop Trading | Get Funded Up to $200K | Kraken Pro","200","text/html; charset=utf-8","7/16/2026 3:29:30 PM","8444","e3343c8668fe216d493439ca6e69697e345524ca5198cfe29006afed33d998a3"
"https://www.kraken.com/stocks","https://www.kraken.com/stocks","Stocks and ETFs on Kraken","200","text/html; charset=utf-8","8/11/2026 11:17:00 PM","6634","3e87720990ced45652667cdd59678d9ecc2432efea3e24a94a9718fb9a9eae7f"
"https://www.kraken.com/vip","https://www.kraken.com/vip","Kraken VIP | Access redefined","200","text/html; charset=utf-8","8/11/2026 11:17:00 PM","2272","f01dcfeb9e85eba66386a1b5fa35566b492a42951cdd33e27f036f4acc2b8221"
